M-ce;12km;26km;37.8km;Cz. netto;Cz. brutto;min/km;km/h;;;;;;;;;
1;00:49:18;01:59:42;03:06:14;04:22:34.600;04:22:35.200;05:02;11.9;;;;;;;;;
2;00:49:29;02:03:27;03:11:39;04:32:01.100;04:32:01.700;05:13;11.5;;;;;;;;;
3;00:47:52;02:00:29;03:10:10;04:34:06.300;04:34:07.800;05:16;11.4;;;;;;;;;
4;00:49:16;02:03:24;03:15:40;04:41:13.400;04:41:15.600;05:24;11.1;;;;;;;;;
5;00:50:04;02:03:46;03:13:47;04:42:16.050;04:42:16.900;05:25;11.1;;;;;;;;;
6;00:50:25;02:06:22;03:17:30;04:44:17.050;04:44:18.100;05:28;11;;;;;;;;;
7;00:50:49;02:08:09;03:19:20;04:45:51.700;04:45:53.250;05:29;10.9;;;;;;;;;
8;00:50:45;02:08:40;03:24:33;04:53:54.650;04:53:56.150;05:39;10.6;;;;;;;;;
9;00:49:27;02:08:12;03:28:33;05:00:45.850;05:00:46.650;05:47;10.4;;;;;;;;;
10;00:49:39;02:06:41;03:26:52;05:02:34.700;05:02:36.050;05:49;10.3;;;;;;;;;
11;00:52:27;02:14:33;03:30:37;05:06:11.000;05:06:12.650;05:53;10.2;;;;;;;;;
12;00:52:55;02:16:24;03:32:55;05:07:04.100;05:07:06.550;05:54;10.2;;;;;;;;;
13;00:59:06;02:24:21;03:39:11;05:11:48.900;05:11:52.500;05:59;10;;;;;;;;;
14;00:55:52;02:22:55;03:41:08;05:14:46.450;05:14:52.000;06:03;9.9;;;;;;;;;
15;00:55:17;02:21:36;03:41:20;05:16:24.200;05:16:26.050;06:05;9.9;;;;;;;;;
16;00:50:03;02:08:12;03:31:58;05:18:57.450;05:18:58.350;06:08;9.8;;;;;;;;;
17;00:53:39;02:20:02;03:41:45;05:19:21.000;05:19:21.450;06:08;9.8;;;;;;;;;
18;00:52:04;02:14:35;03:35:43;05:19:33.900;05:19:36.250;06:08;9.8;;;;;;;;;
19;00:52:04;02:15:40;03:38:26;05:20:51.000;05:20:53.300;06:10;9.7;;;;;;;;;
20;00:52:48;02:16:50;03:42:35;05:21:18.150;05:21:20.100;06:10;9.7;;;;;;;;;
21;00:52:56;02:15:53;03:38:21;05:21:23.850;05:21:25.250;06:10;9.7;;;;;;;;;
22;00:52:49;02:15:27;03:37:32;05:22:35.300;05:22:36.700;06:12;9.7;;;;;;;;;
23;00:57:38;02:27:02;03:50:05;05:22:46.450;05:22:48.300;06:12;9.7;;;;;;;;;
24;00:53:47;02:17:25;03:42:52;05:24:52.450;05:24:53.000;06:14;9.6;;;;;;;;;
25;00:57:28;02:26:09;03:49:29;05:26:31.800;05:26:37.800;06:16;9.6;;;;;;;;;
26;00:55:51;02:25:51;03:52:37;05:34:42.350;05:34:43.550;06:26;9.3;;;;;;;;;
27;00:58:40;02:32:31;03:58:22;05:35:32.700;05:35:37.350;06:27;9.3;;;;;;;;;
28;00:58:38;02:29:33;03:54:35;05:36:08.050;05:36:12.400;06:27;9.3;;;;;;;;;
29;00:55:44;02:23:34;03:52:38;05:37:26.900;05:37:28.150;06:29;9.2;;;;;;;;;
30;00:53:54;02:22:56;03:46:42;05:37:53.300;05:37:55.250;06:29;9.2;;;;;;;;;
31;00:58:54;02:26:51;03:54:24;05:38:00.800;05:38:02.950;06:30;9.2;;;;;;;;;
32;01:00:45;02:30:14;03:55:34;05:37:53.950;05:38:05.350;06:29;9.2;;;;;;;;;
33;00:59:52;02:31:49;03:59:43;05:43:23.600;05:43:24.450;06:36;9.1;;;;;;;;;
34;01:00:39;02:34:25;03:59:11;05:47:15.050;05:47:27.550;06:40;9;;;;;;;;;
35;01:01:21;02:33:03;03:58:03;05:47:21.650;05:47:27.600;06:40;9;;;;;;;;;
36;00:57:39;02:27:51;03:57:54;05:48:11.850;05:48:13.050;06:41;9;;;;;;;;;
37;01:01:58;02:31:38;03:58:35;05:48:04.500;05:48:21.650;06:41;9;;;;;;;;;
38;00:56:10;02:29:53;04:00:26;05:51:34.700;05:51:35.800;06:45;8.9;;;;;;;;;
39;00:57:47;02:39:41;04:11:29;05:53:59.000;05:54:03.600;06:48;8.8;;;;;;;;;
40;01:00:11;02:35:53;04:08:04;05:54:44.250;05:54:50.300;06:49;8.8;;;;;;;;;
41;00:58:54;02:31:40;04:02:26;05:55:32.650;05:55:36.550;06:50;8.8;;;;;;;;;
42;01:03:51;02:37:34;04:08:26;05:55:28.650;05:55:39.800;06:50;8.8;;;;;;;;;
43;00:59:38;02:33:54;04:07:56;05:57:32.450;05:57:38.850;06:52;8.7;;;;;;;;;
44;00:57:54;02:32:00;04:04:41;06:00:43.550;06:00:45.550;06:56;8.6;;;;;;;;;
45;01:04:38;02:41:28;04:12:13;06:02:32.450;06:02:39.650;06:58;8.6;;;;;;;;;
46;00:57:57;02:34:30;04:05:35;06:03:53.150;06:03:54.850;06:59;8.6;;;;;;;;;
47;01:02:47;02:38:08;04:11:18;06:04:11.500;06:04:30.650;07:00;8.6;;;;;;;;;
48;01:00:00;02:36:37;04:13:36;06:06:02.000;06:06:05.400;07:02;8.5;;;;;;;;;
49;01:00:15;02:39:20;04:17:36;06:08:50.300;06:09:20.950;07:05;8.5;;;;;;;;;
50;00:57:40;02:33:23;04:11:26;06:09:38.450;06:09:50.400;07:06;8.4;;;;;;;;;
51;01:01:20;02:33:04;04:09:27;06:09:58.700;06:10:04.550;07:06;8.4;;;;;;;;;
52;01:05:38;02:45:55;04:17:51;06:10:43.200;06:11:00.700;07:07;8.4;;;;;;;;;
53;01:02:08;02:38:03;04:17:51;06:12:07.900;06:12:23.700;07:09;8.4;;;;;;;;;
54;01:07:53;02:57:20;04:26:32;06:12:02.650;06:12:32.350;07:09;8.4;;;;;;;;;
55;00:59:12;02:33:29;04:08:03;06:12:33.050;06:12:39.450;07:09;8.4;;;;;;;;;
56;01:09:16;02:48:33;04:21:07;06:12:42.150;06:13:26.150;07:10;8.4;;;;;;;;;
57;01:06:19;02:40:29;04:14:36;06:13:40.600;06:13:58.400;07:11;8.3;;;;;;;;;
58;01:11:08;02:52:33;04:27:22;06:16:44.600;06:17:08.000;07:14;8.3;;;;;;;;;
59;01:02:42;02:42:49;04:21:40;06:16:25.900;06:17:11.350;07:14;8.3;;;;;;;;;
60;01:02:35;02:38:45;04:17:43;06:16:56.450;06:17:34.400;07:14;8.3;;;;;;;;;
61;00:53:33;02:18:06;03:43:49;06:17:46.250;06:17:47.000;07:15;8.3;;;;;;;;;
62;01:11:35;02:53:58;04:23:32;06:19:30.700;06:19:59.950;07:17;8.2;;;;;;;;;
64;01:04:33;02:45:44;04:25:05;06:21:00.000;06:21:09.350;07:19;8.2;;;;;;;;;
65;01:01:31;02:37:32;04:18:00;06:21:43.850;06:21:53.200;07:20;8.2;;;;;;;;;
66;01:10:34;02:50:11;04:28:39;06:21:36.350;06:21:55.950;07:20;8.2;;;;;;;;;
67;00:57:39;02:38:55;04:23:55;06:22:13.600;06:22:16.750;07:21;8.2;;;;;;;;;
68;01:04:40;02:52:43;04:29:42;06:22:09.100;06:22:17.000;07:20;8.2;;;;;;;;;
69;01:03:57;02:48:22;04:27:38;06:23:23.000;06:23:29.500;07:22;8.1;;;;;;;;;
70;01:00:32;02:42:55;04:24:36;06:24:24.050;06:24:26.550;07:23;8.1;;;;;;;;;
71;00:59:03;02:34:44;04:13:28;06:25:17.450;06:25:48.100;07:24;8.1;;;;;;;;;
72;00:59:35;02:41:02;04:22:56;06:27:06.450;06:27:14.250;07:26;8.1;;;;;;;;;
73;01:04:06;02:45:27;04:27:05;06:26:50.350;06:27:25.100;07:26;8.1;;;;;;;;;
74;01:03:59;02:42:51;04:25:51;06:27:05.600;06:27:40.100;07:26;8.1;;;;;;;;;
75;01:03:52;02:43:32;04:26:55;06:27:51.350;06:28:04.250;07:27;8;;;;;;;;;
76;01:05:35;02:48:57;04:30:01;06:28:03.550;06:28:11.550;07:27;8;;;;;;;;;
77;01:00:08;02:50:00;04:31:17;06:29:59.750;06:30:03.050;07:30;8;;;;;;;;;
78;01:04:20;02:45:09;04:26:05;06:30:22.000;06:30:28.800;07:30;8;;;;;;;;;
79;01:04:02;02:44:40;04:27:54;06:30:43.200;06:30:55.800;07:30;8;;;;;;;;;
