Id;26.5km;34.2km;40.7km;Cz. netto;Cz. brutto;min/km;km/h
1;01:54:23;02:26:19;02:57:48;03:13:48.150;03:13:48.150;04:20;13.8
2;01:58:25;02:29:21;02:59:48;03:14:32.950;03:14:32.950;04:21;13.8
3;01:59:04;02:32:52;03:07:47;03:24:10.150;03:24:10.150;04:34;13.1
4;01:59:32;02:35:59;03:12:32;03:30:31.700;03:30:31.700;04:43;12.7
5;01:59:55;02:36:57;03:14:59;03:33:12.850;03:33:12.850;04:46;12.6
6;02:04:05;02:40:54;03:17:08;03:34:20.650;03:34:20.650;04:48;12.5
7;02:04:29;02:40:39;03:18:10;03:35:06.250;03:35:06.250;04:49;12.4
8;02:05:14;02:41:22;03:20:21;03:38:09.650;03:38:09.650;04:53;12.3
9;02:09:27;02:46:43;03:25:54;03:43:20.000;03:43:20.000;05:00;12
10;02:00:47;02:41:02;03:24:34;03:43:39.700;03:43:39.700;05:00;12
11;02:06:23;02:44:47;03:24:43;03:44:08.900;03:44:08.900;05:01;11.9
12;02:07:51;02:45:30;03:26:49;03:44:47.500;03:44:47.500;05:02;11.9
13;01:59:09;02:41:24;03:25:33;03:45:24.650;03:45:24.650;05:03;11.9
14;02:05:16;02:44:58;03:25:59;03:45:55.450;03:45:55.450;05:03;11.8
15;02:14:11;02:52:02;03:29:28;03:46:35.000;03:46:35.000;05:04;11.8
16;02:16:40;02:54:06;03:32:17;03:48:33.150;03:48:33.150;05:07;11.7
17;02:09:07;02:51:30;03:32:33;03:48:35.750;03:48:35.750;05:07;11.7
18;02:12:55;02:54:10;03:32:41;03:49:07.850;03:49:07.850;05:08;11.7
19;02:13:41;02:53:43;03:32:10;03:51:04.750;03:51:04.750;05:10;11.6
21;02:09:07;02:48:19;03:32:52;03:52:02.050;03:52:02.050;05:12;11.5
22;02:14:38;02:55:05;03:35:05;03:52:47.000;03:52:47.000;05:13;11.5
23;02:12:08;02:51:53;03:33:43;03:52:47.050;03:52:47.050;05:13;11.5
24;02:14:14;02:54:47;03:35:14;03:53:50.350;03:53:50.350;05:14;11.4
25;02:12:50;02:53:19;03:35:03;03:55:06.150;03:55:06.150;05:16;11.4
26;02:12:46;02:54:13;03:36:19;03:56:01.050;03:56:01.050;05:17;11.3
27;02:13:11;02:53:43;03:37:55;03:56:49.800;03:56:49.800;05:18;11.3
28;02:16:56;02:58:05;03:39:08;03:58:46.500;03:58:46.500;05:21;11.2
29;02:14:53;02:57:28;03:40:25;04:00:39.550;04:00:39.550;05:23;11.1
30;02:16:25;02:56:31;03:41:04;04:01:08.150;04:01:08.150;05:24;11.1
31;02:14:18;02:57:57;03:41:47;04:01:23.000;04:01:23.000;05:24;11.1
32;02:15:06;03:00:22;03:42:48;04:01:37.150;04:01:37.150;05:25;11.1
33;02:20:15;03:01:36;03:44:03;04:02:16.250;04:02:16.250;05:25;11
34;02:16:57;03:00:49;03:44:16;04:02:37.850;04:02:37.850;05:26;11
35;02:16:25;02:56:28;03:41:05;04:02:42.550;04:02:42.550;05:26;11
36;02:09:58;02:51:55;03:41:04;04:03:46.050;04:03:46.050;05:27;11
37;02:19:05;03:01:07;03:44:03;04:04:22.750;04:04:22.750;05:28;11
38;02:19:47;03:02:34;03:45:38;04:04:23.650;04:04:23.650;05:28;11
39;02:18:04;03:01:13;03:45:30;04:04:46.450;04:04:46.450;05:29;10.9
40;02:13:44;03:00:14;03:44:23;04:05:27.350;04:05:27.350;05:30;10.9
41;02:19:25;03:02:58;03:47:51;04:07:31.200;04:07:31.200;05:32;10.8
42;02:21:27;03:07:36;03:50:36;04:09:39.600;04:09:39.600;05:35;10.7
43;02:17:09;03:01:53;03:48:57;04:09:53.050;04:09:53.050;05:36;10.7
44;02:23:37;03:06:50;03:52:08;04:10:50.050;04:10:50.050;05:37;10.7
45;02:16:55;03:03:03;03:48:47;04:10:58.650;04:10:58.650;05:37;10.7
46;02:21:35;03:07:52;03:52:18;04:11:05.100;04:11:05.100;05:37;10.7
47;02:18:50;03:04:20;03:50:43;04:11:27.400;04:11:27.400;05:38;10.6
48;02:22:28;03:07:24;03:51:58;04:12:01.000;04:12:01.000;05:39;10.6
49;02:27:42;03:14:09;03:54:52;04:12:21.300;04:12:21.300;05:39;10.6
50;02:24:49;03:09:00;03:53:11;04:12:45.100;04:12:45.100;05:40;10.6
51;02:19:00;03:04:48;03:51:55;04:13:21.950;04:13:21.950;05:40;10.6
52;02:15:38;03:03:48;03:51:55;04:13:22.050;04:13:22.050;05:40;10.6
53;02:23:16;03:07:22;03:53:15;04:13:39.600;04:13:39.600;05:41;10.5
54;02:24:02;03:10:30;03:54:45;04:14:20.700;04:14:20.700;05:42;10.5
55;02:22:28;03:12:04;03:56:09;04:14:24.450;04:14:24.450;05:42;10.5
56;02:19:55;03:08:36;03:54:23;04:14:52.000;04:14:52.000;05:42;10.5
57;02:18:13;03:07:25;03:54:18;04:15:47.850;04:15:47.850;05:44;10.5
58;02:19:18;03:05:42;03:54:15;04:16:15.300;04:16:15.300;05:44;10.4
59;02:11:05;03:01:11;03:54:04;04:17:44.700;04:17:44.700;05:46;10.4
60;02:24:22;03:09:11;03:56:54;04:18:06.300;04:18:06.300;05:47;10.4
61;02:22:50;03:11:16;03:57:19;04:18:18.650;04:18:18.650;05:47;10.4
62;02:27:42;03:14:09;03:57:14;04:18:23.200;04:18:23.200;05:47;10.4
63;02:23:19;03:10:46;03:56:17;04:18:38.100;04:18:38.100;05:47;10.3
64;02:22:11;03:08:09;03:55:16;04:18:43.500;04:18:43.500;05:48;10.3
65;02:22:21;03:08:09;03:55:20;04:18:45.350;04:18:45.350;05:48;10.3
66;02:25:21;03:11:29;03:57:09;04:18:51.800;04:18:51.800;05:48;10.3
67;02:23:17;03:11:43;03:58:09;04:18:59.750;04:18:59.750;05:48;10.3
68;02:20:43;03:08:47;03:55:36;04:19:14.200;04:19:14.200;05:48;10.3
69;02:20:46;03:08:37;03:55:56;04:19:14.800;04:19:14.800;05:48;10.3
70;02:22:48;03:11:51;03:57:30;04:19:17.750;04:19:17.750;05:48;10.3
71;02:26:32;03:12:52;03:59:05;04:19:22.900;04:19:22.900;05:48;10.3
72;02:25:51;03:12:42;03:58:46;04:19:56.000;04:19:56.000;05:49;10.3
73;02:17:21;03:08:27;03:58:52;04:20:51.850;04:20:51.850;05:50;10.3
74;02:25:51;03:11:47;03:58:42;04:21:11.950;04:21:11.950;05:51;10.2
75;02:19:26;03:08:43;03:58:53;04:21:13.550;04:21:13.550;05:51;10.2
76;02:30:21;03:14:57;04:00:13;04:21:13.850;04:21:13.850;05:51;10.2
77;02:20:52;03:11:04;03:58:58;04:21:17.250;04:21:17.250;05:51;10.2
78;02:23:30;03:11:53;04:00:19;04:21:24.450;04:21:24.450;05:51;10.2
79;02:23:24;03:12:41;04:00:55;04:21:54.800;04:21:54.800;05:52;10.2
80;02:28:58;03:16:58;04:03:04;04:22:34.150;04:22:34.150;05:53;10.2
81;02:23:22;03:12:11;04:01:33;04:23:06.600;04:23:06.600;05:53;10.2
82;02:29:48;03:18:25;04:03:10;04:23:10.550;04:23:10.550;05:54;10.2
83;02:24:01;03:12:52;;04:23:17.250;04:23:17.250;05:54;10.2
84;02:20:54;03:10:34;04:01:39;04:23:37.100;04:23:37.100;05:54;10.2
85;02:28:27;03:16:16;04:03:33;04:24:37.600;04:24:37.600;05:55;10.1
86;02:26:24;03:14:39;04:03:34;04:24:39.350;04:24:39.350;05:56;10.1
87;02:26:49;03:16:28;04:04:45;04:24:40.350;04:24:40.350;05:56;10.1
88;02:25:51;03:15:45;04:03:48;04:24:48.650;04:24:48.650;05:56;10.1
89;02:28:06;03:16:25;04:04:45;04:24:53.900;04:24:53.900;05:56;10.1
90;02:16:26;03:08:42;04:04:13;04:24:54.400;04:24:54.400;05:56;10.1
91;02:31:12;03:18:36;04:05:36;04:25:45.450;04:25:45.450;05:57;10.1
92;02:37:42;03:22:27;04:07:10;04:26:06.450;04:26:06.450;05:57;10.1
93;02:23:08;03:16:35;04:05:55;04:26:14.900;04:26:14.900;05:58;10.1
94;02:29:40;03:18:09;04:05:58;04:26:56.100;04:26:56.100;05:59;10
95;02:24:54;03:15:10;04:05:18;04:27:04.850;04:27:04.850;05:59;10
96;02:30:27;03:20:17;04:06:31;04:27:43.350;04:27:43.350;06:00;10
97;02:34:40;03:22:31;04:08:47;04:28:05.850;04:28:05.850;06:00;10
98;02:35:34;03:22:24;04:08:46;04:28:20.400;04:28:20.400;06:00;10
99;02:32:14;03:20:51;04:08:20;04:29:02.250;04:29:02.250;06:01;9.9
100;02:29:38;03:20:06;04:08:36;04:30:10.500;04:30:10.500;06:03;9.9
101;02:29:37;03:20:06;04:08:36;04:30:13.750;04:30:13.750;06:03;9.9
102;02:30:30;03:20:07;04:08:37;04:30:14.750;04:30:14.750;06:03;9.9
104;02:23:58;03:16:15;04:07:25;04:30:45.350;04:30:45.350;06:04;9.9
105;02:22:37;03:14:27;04:08:27;04:31:07.050;04:31:07.050;06:04;9.9
106;02:28:44;03:18:52;04:09:53;04:31:23.600;04:31:23.600;06:05;9.9
107;02:28:35;03:18:07;04:09:26;04:31:25.000;04:31:25.000;06:05;9.9
108;02:26:31;03:19:56;04:09:28;04:31:26.450;04:31:26.450;06:05;9.9
109;02:27:04;03:17:59;04:08:20;04:32:08.000;04:32:08.000;06:06;9.8
110;02:33:35;03:21:50;04:10:43;04:33:33.150;04:33:33.150;06:08;9.8
111;02:28:39;03:22:18;04:11:59;04:33:52.900;04:33:52.900;06:08;9.8
112;02:24:21;03:22:17;04:11:59;04:33:53.050;04:33:53.050;06:08;9.8
113;02:39:16;03:26:59;04:13:32;04:34:30.150;04:34:30.150;06:09;9.7
114;02:30:19;03:21:59;04:12:17;04:34:47.850;04:34:47.850;06:09;9.7
115;02:32:36;03:24:38;04:11:56;04:34:50.550;04:34:50.550;06:09;9.7
116;02:32:12;03:22:35;04:11:49;04:34:51.550;04:34:51.550;06:09;9.7
117;02:29:47;03:21:37;04:11:58;04:35:07.300;04:35:07.300;06:10;9.7
119;02:28:12;03:18:09;04:11:13;04:36:04.250;04:36:04.250;06:11;9.7
120;02:29:47;03:21:38;04:11:58;04:36:06.100;04:36:06.100;06:11;9.7
121;02:32:59;03:25:11;04:14:48;04:36:22.900;04:36:22.900;06:11;9.7
122;02:34:23;03:26:36;04:14:25;04:36:31.350;04:36:31.350;06:11;9.7
123;02:32:57;03:24:33;04:14:29;04:37:42.750;04:37:42.750;06:13;9.6
124;02:26:46;03:18:07;04:14:33;04:38:30.100;04:38:30.100;06:14;9.6
125;02:37:07;03:26:55;04:17:11;04:38:37.900;04:38:37.900;06:14;9.6
126;02:37:33;03:28:06;04:17:33;04:39:39.200;04:39:39.200;06:16;9.6
127;02:36:19;03:29:04;04:17:51;04:39:41.550;04:39:41.550;06:16;9.6
128;02:34:45;03:25:13;04:16:45;04:39:43.550;04:39:43.550;06:16;9.6
129;02:28:28;03:20:33;04:16:17;04:39:44.750;04:39:44.750;06:16;9.6
130;02:32:21;03:24:41;04:15:48;04:40:01.400;04:40:01.400;06:16;9.6
131;02:36:27;03:29:07;04:18:32;04:41:37.500;04:41:37.500;06:18;9.5
132;02:24:03;03:19:16;04:15:27;04:41:42.800;04:41:42.800;06:18;9.5
133;02:34:11;03:26:23;04:16:44;04:41:46.100;04:41:46.100;06:19;9.5
134;02:34:12;03:25:52;04:16:44;04:41:46.900;04:41:46.900;06:19;9.5
135;02:34:42;03:26:40;04:18:11;04:41:47.950;04:41:47.950;06:19;9.5
136;02:35:59;03:27:27;04:17:59;04:41:49.350;04:41:49.350;06:19;9.5
137;02:27:51;03:26:04;04:18:12;04:41:54.350;04:41:54.350;06:19;9.5
138;02:33:05;03:22:04;04:15:48;04:42:12.950;04:42:12.950;06:19;9.5
139;02:32:34;03:21:56;04:15:48;04:42:13.250;04:42:13.250;06:19;9.5
140;02:34:50;03:25:20;04:16:40;04:42:14.500;04:42:14.500;06:19;9.5
141;02:33:39;03:28:45;04:19:52;04:42:23.900;04:42:23.900;06:19;9.5
142;02:40:01;03:33:11;04:20:41;04:42:24.550;04:42:24.550;06:19;9.5
143;02:41:31;03:34:45;04:21:59;04:42:25.600;04:42:25.600;06:19;9.5
144;02:43:29;03:34:53;04:21:20;04:42:26.600;04:42:26.600;06:19;9.5
145;02:37:03;03:29:45;04:20:12;04:42:27.350;04:42:27.350;06:19;9.5
146;02:34:52;03:27:24;04:18:31;04:42:28.150;04:42:28.150;06:20;9.5
147;02:40:38;03:30:51;04:20:07;04:42:30.950;04:42:30.950;06:20;9.5
148;02:35:39;03:30:15;04:19:54;04:42:34.500;04:42:34.500;06:20;9.5
149;02:40:49;03:35:49;04:21:59;04:42:50.600;04:42:50.600;06:20;9.5
150;02:30:36;03:25:06;04:17:30;04:43:06.500;04:43:06.500;06:20;9.5
151;02:38:00;03:30:16;04:20:36;04:43:24.200;04:43:24.200;06:21;9.4
152;02:43:28;03:35:04;04:22:26;04:43:39.050;04:43:39.050;06:21;9.4
153;02:41:42;03:34:20;04:22:01;04:43:39.850;04:43:39.850;06:21;9.4
154;02:48:51;03:38:43;04:24:26;04:43:40.150;04:43:40.150;06:21;9.4
155;02:30:04;03:28:01;04:21:02;04:44:00.300;04:44:00.300;06:22;9.4
156;02:48:47;03:37:39;04:24:27;04:44:11.200;04:44:11.200;06:22;9.4
157;02:32:41;03:31:47;04:21:24;04:44:33.900;04:44:33.900;06:22;9.4
158;02:30:13;03:25:41;04:21:13;04:45:45.350;04:45:45.350;06:24;9.4
159;02:34:26;03:29:44;04:22:26;04:45:46.050;04:45:46.050;06:24;9.4
160;02:39:30;03:32:33;04:22:10;04:46:38.200;04:46:38.200;06:25;9.3
161;02:43:04;03:34:50;04:24:06;04:47:09.450;04:47:09.450;06:26;9.3
162;02:37:06;03:33:27;04:22:34;04:47:14.700;04:47:14.700;06:26;9.3
163;02:41:24;03:33:45;04:23:09;04:47:18.050;04:47:18.050;06:26;9.3
164;02:39:23;03:33:40;04:22:24;04:47:38.600;04:47:38.600;06:26;9.3
165;02:32:07;03:28:47;04:21:25;04:47:40.050;04:47:40.050;06:26;9.3
166;02:30:23;03:30:22;04:22:24;04:47:41.300;04:47:41.300;06:27;9.3
167;02:36:17;03:31:09;04:23:24;04:47:44.300;04:47:44.300;06:27;9.3
168;02:36:12;03:31:47;04:23:09;04:47:46.600;04:47:46.600;06:27;9.3
169;02:35:44;03:30:34;04:24:01;04:47:50.650;04:47:50.650;06:27;9.3
170;02:40:49;03:35:21;04:23:56;04:47:54.650;04:47:54.650;06:27;9.3
171;02:39:58;03:34:27;04:24:31;04:47:55.700;04:47:55.700;06:27;9.3
172;02:39:09;03:33:51;04:24:57;04:47:56.700;04:47:56.700;06:27;9.3
173;02:43:00;03:35:43;04:24:46;04:47:58.050;04:47:58.050;06:27;9.3
174;02:40:51;03:34:43;04:23:38;04:48:06.300;04:48:06.300;06:27;9.3
175;02:28:16;03:25:42;04:23:00;04:48:13.100;04:48:13.100;06:27;9.3
176;02:41:41;03:34:00;04:24:58;04:48:52.800;04:48:52.800;06:28;9.3
177;02:36:47;03:33:15;04:25:02;04:49:26.850;04:49:26.850;06:29;9.2
178;02:35:51;03:30:16;04:24:35;04:49:29.000;04:49:29.000;06:29;9.2
179;02:33:40;03:25:18;04:20:10;04:49:33.400;04:49:33.400;06:29;9.2
180;02:30:43;03:28:58;04:23:38;04:49:36.700;04:49:36.700;06:29;9.2
181;02:41:29;03:34:59;04:24:52;04:49:38.550;04:49:38.550;06:29;9.2
182;02:42:29;03:37:08;04:24:59;04:50:03.000;04:50:03.000;06:30;9.2
183;02:39:48;03:33:53;04:25:01;04:50:56.050;04:50:56.050;06:31;9.2
184;02:40:22;03:28:32;04:27:35;04:50:57.050;04:50:57.050;06:31;9.2
185;02:33:12;03:29:58;04:25:20;04:51:12.100;04:51:12.100;06:31;9.2
186;02:38:26;03:36:28;04:26:20;04:51:39.550;04:51:39.550;06:32;9.2
187;02:39:15;03:36:25;04:28:04;04:52:01.750;04:52:01.750;06:32;9.2
188;02:38:18;03:35:56;04:26:41;04:52:03.550;04:52:03.550;06:32;9.2
189;02:40:29;03:36:26;04:28:04;04:52:13.450;04:52:13.450;06:33;9.2
190;02:36:26;03:31:09;04:26:02;04:52:38.900;04:52:38.900;06:33;9.1
191;02:43:17;03:36:58;04:28:00;04:52:40.200;04:52:40.200;06:33;9.1
192;02:34:33;03:32:14;04:28:17;04:53:24.400;04:53:24.400;06:34;9.1
193;02:36:33;03:35:38;04:29:27;04:53:37.100;04:53:37.100;06:35;9.1
194;02:54:33;03:44:11;04:32:41;04:53:38.950;04:53:38.950;06:35;9.1
195;02:47:35;03:44:36;04:33:13;04:53:39.850;04:53:39.850;06:35;9.1
196;02:37:04;03:31:51;04:27:24;04:54:03.800;04:54:03.800;06:35;9.1
197;02:48:31;03:39:52;04:32:39;04:54:14.100;04:54:14.100;06:35;9.1
198;03:07:52;03:51:24;04:35:52;04:54:20.750;04:54:20.750;06:35;9.1
199;02:33:59;03:30:44;04:28:31;04:54:50.850;04:54:50.850;06:36;9.1
200;02:44:34;03:40:21;04:31:58;04:54:58.350;04:54:58.350;06:36;9.1
201;02:40:50;03:38:18;04:30:51;04:55:58.050;04:55:58.050;06:38;9
202;02:40:22;03:37:44;04:31:34;04:56:27.050;04:56:27.050;06:38;9
203;02:41:08;03:38:42;04:33:10;04:56:58.800;04:56:58.800;06:39;9
204;02:41:08;03:38:44;04:33:11;04:57:04.000;04:57:04.000;06:39;9
205;02:47:10;03:41:27;04:33:36;04:57:05.100;04:57:05.100;06:39;9
206;02:49:45;03:44:09;04:33:55;04:57:05.950;04:57:05.950;06:39;9
207;02:47:38;03:43:49;04:34:40;04:57:06.700;04:57:06.700;06:39;9
208;02:49:05;03:45:14;04:35:15;04:57:08.800;04:57:08.800;06:39;9
209;02:40:56;03:37:43;04:32:20;04:57:14.200;04:57:14.200;06:39;9
210;02:30:23;03:33:12;04:31:11;04:57:20.950;04:57:20.950;06:40;9
211;02:42:00;03:41:49;04:33:50;04:57:25.150;04:57:25.150;06:40;9
212;02:52:06;03:43:38;04:33:13;04:57:26.350;04:57:26.350;06:40;9
213;02:46:57;03:44:12;04:35:00;04:57:44.550;04:57:44.550;06:40;9
214;02:40:32;03:40:01;04:36:01;04:57:58.200;04:57:58.200;06:40;9
215;02:45:30;03:43:29;04:35:03;04:58:00.200;04:58:00.200;06:40;9
216;02:38:01;03:36:10;04:32:00;04:58:04.850;04:58:04.850;06:40;9
217;02:40:22;03:39:29;04:35:25;04:58:06.250;04:58:06.250;06:41;9
218;02:38:12;03:38:44;04:33:07;04:58:10.350;04:58:10.350;06:41;9
219;02:45:31;03:43:29;04:35:03;04:58:18.750;04:58:18.750;06:41;9
220;02:45:45;03:40:59;04:35:12;04:58:20.700;04:58:20.700;06:41;9
221;02:44:16;03:40:57;04:34:38;04:59:40.350;04:59:40.350;06:43;8.9
222;02:54:59;03:49:37;04:38:52;04:59:41.500;04:59:41.500;06:43;8.9
223;02:47:11;03:41:24;04:34:23;04:59:59.700;04:59:59.700;06:43;8.9
224;02:43:50;03:39:27;04:34:43;05:00:01.150;05:00:01.150;06:43;8.9
225;02:53:18;03:46:42;04:37:33;05:00:43.400;05:00:43.400;06:44;8.9
226;02:47:38;03:44:08;04:36:15;05:00:49.100;05:00:49.100;06:44;8.9
227;02:47:42;03:44:47;04:36:14;05:00:56.800;05:00:56.800;06:44;8.9
228;02:47:42;03:44:49;04:36:14;05:00:57.700;05:00:57.700;06:44;8.9
229;02:50:32;03:45:08;04:38:45;05:01:03.350;05:01:03.350;06:45;8.9
230;02:46:35;03:42:11;04:36:01;05:01:04.500;05:01:04.500;06:45;8.9
231;02:45:23;03:45:49;04:37:20;05:01:17.350;05:01:17.350;06:45;8.9
232;02:50:53;03:46:57;04:38:10;05:01:20.750;05:01:20.750;06:45;8.9
233;02:47:58;03:43:32;04:37:16;05:01:29.450;05:01:29.450;06:45;8.9
234;02:49:42;03:43:37;04:37:16;05:01:30.700;05:01:30.700;06:45;8.9
235;02:43:49;03:40:31;04:34:43;05:01:53.950;05:01:53.950;06:46;8.9
236;02:44:04;03:43:43;04:36:05;05:01:54.350;05:01:54.350;06:46;8.9
237;02:54:57;03:48:49;04:39:24;05:01:55.000;05:01:55.000;06:46;8.9
238;02:54:59;03:49:38;04:38:53;05:01:56.300;05:01:56.300;06:46;8.9
239;02:48:46;03:45:55;04:37:15;05:02:01.650;05:02:01.650;06:46;8.9
240;02:49:33;03:44:42;04:37:07;05:02:13.450;05:02:13.450;06:46;8.9
241;02:47:39;03:43:41;04:37:01;05:02:14.550;05:02:14.550;06:46;8.9
242;02:48:45;03:45:16;04:38:29;05:02:15.500;05:02:15.500;06:46;8.9
243;02:43:32;03:44:17;04:38:02;05:02:19.950;05:02:19.950;06:46;8.9
244;02:44:44;03:40:11;04:33:57;05:02:33.300;05:02:33.300;06:47;8.8
245;02:43:46;03:43:30;04:39:18;05:02:36.350;05:02:36.350;06:47;8.8
246;03:08:25;03:57:41;04:44:00;05:02:48.900;05:02:48.900;06:47;8.8
247;02:46:32;03:49:14;04:39:25;05:02:56.650;05:02:56.650;06:47;8.8
248;02:51:36;03:48:47;04:40:32;05:03:01.000;05:03:01.000;06:47;8.8
249;02:55:17;03:54:05;04:42:08;05:03:15.750;05:03:15.750;06:47;8.8
250;02:51:59;03:47:06;04:38:35;05:03:23.000;05:03:23.000;06:48;8.8
251;02:52:17;03:48:08;04:39:42;05:03:32.800;05:03:32.800;06:48;8.8
252;02:45:53;03:42:57;04:36:51;05:03:35.250;05:03:35.250;06:48;8.8
253;02:49:32;03:54:21;04:41:22;05:03:55.450;05:03:55.450;06:48;8.8
254;02:50:12;03:52:56;04:41:41;05:04:03.300;05:04:03.300;06:49;8.8
255;02:36:48;03:36:42;04:37:42;05:04:26.450;05:04:26.450;06:49;8.8
256;02:43:03;03:44:38;04:39:26;05:04:40.000;05:04:40.000;06:49;8.8
257;02:37:19;03:41:29;04:42:13;05:04:55.050;05:04:55.050;06:50;8.8
258;02:49:43;03:44:56;04:40:31;05:05:06.350;05:05:06.350;06:50;8.8
259;02:48:33;03:46:14;04:39:40;05:05:35.450;05:05:35.450;06:51;8.8
260;02:48:48;03:46:32;04:40:08;05:05:38.700;05:05:38.700;06:51;8.8
261;02:44:37;03:46:17;04:40:05;05:05:49.550;05:05:49.550;06:51;8.8
262;02:53:32;03:55:32;04:44:55;05:05:50.150;05:05:50.150;06:51;8.7
263;02:58:46;03:56:43;04:44:25;05:05:51.900;05:05:51.900;06:51;8.7
264;02:58:46;03:56:43;04:44:25;05:05:52.650;05:05:52.650;06:51;8.7
265;02:53:32;03:55:33;04:44:56;05:05:53.350;05:05:53.350;06:51;8.7
266;02:47:28;03:46:04;04:40:34;05:06:25.250;05:06:25.250;06:52;8.7
267;02:49:45;03:44:59;04:40:31;05:06:47.150;05:06:47.150;06:52;8.7
268;02:39:15;03:39:27;04:41:10;05:06:54.050;05:06:54.050;06:52;8.7
269;02:47:13;03:50:50;04:43:10;05:06:58.200;05:06:58.200;06:52;8.7
270;02:46:13;03:47:01;04:43:05;05:07:35.350;05:07:35.350;06:53;8.7
271;02:49:07;03:50:19;04:41:41;05:07:37.050;05:07:37.050;06:53;8.7
272;02:49:07;03:50:18;04:41:41;05:07:37.650;05:07:37.650;06:53;8.7
273;02:48:46;03:47:21;04:42:20;05:07:40.450;05:07:40.450;06:53;8.7
