M-ce;10km;22km;33km;Cz. netto;Cz. brutto;min/km;km/h
1;00:55:13;01:54:04;02:50:36;03:44:10.050;03:44:12.100;04:58;12
2;01:01:36;02:05:18;03:07:01;04:05:47.150;04:05:50.150;05:27;11
3;00:58:43;02:04:26;03:07:33;04:07:14.850;04:07:16.600;05:29;10.9
4;00:59:18;02:04:20;03:12:18;04:19:37.900;04:19:41.000;05:46;10.4
5;01:00:47;02:08:10;03:15:19;04:20:15.650;04:20:17.550;05:47;10.4
6;01:00:22;02:07:51;03:15:11;04:21:11.950;04:21:17.050;05:48;10.3
7;01:01:10;02:09:15;03:19:25;04:26:43.200;04:26:48.200;05:55;10.1
8;01:01:35;02:09:16;03:19:21;04:29:22.800;04:29:26.700;05:59;10
9;01:01:01;02:09:23;03:19:27;04:30:13.550;04:30:17.500;06:00;10
10;01:03:29;02:15:31;03:25:59;04:34:12.900;04:34:15.300;06:05;9.8
11;01:06:01;02:18:44;03:30:09;04:35:34.650;04:35:38.450;06:07;9.8
12;01:00:16;02:05:28;03:17:11;04:37:58.000;04:38:02.200;06:10;9.7
13;01:00:59;02:12:22;03:26:10;04:39:08.800;04:39:13.350;06:12;9.7
14;01:04:18;02:18:31;03:34:33;04:50:57.900;04:51:08.100;06:27;9.3
15;01:10:06;02:25:33;03:42:21;04:56:28.600;04:56:32.600;06:35;9.1
16;01:08:18;02:22:34;03:39:13;04:56:49.750;04:56:52.400;06:35;9.1
17;01:07:18;02:23:20;03:40:05;04:57:01.500;04:57:06.050;06:36;9.1
18;01:06:40;02:23:46;03:47:47;04:59:25.550;04:59:29.200;06:39;9
19;01:05:47;02:23:54;03:43:34;05:01:43.450;05:01:48.650;06:42;8.9
20;01:09:08;02:25:31;03:46:33;05:02:20.350;05:02:26.700;06:43;8.9
21;01:08:27;02:28:12;03:49:25;05:04:56.250;05:05:01.500;06:46;8.9
22;01:08:32;02:24:49;03:46:15;05:06:59.400;05:07:09.000;06:49;8.8
23;01:08:48;02:28:22;03:49:20;05:09:24.400;05:09:27.150;06:52;8.7
24;01:12:01;02:33:35;03:54:23;05:09:42.950;05:09:50.200;06:52;8.7
25;01:11:29;02:28:25;03:49:57;05:10:21.000;05:10:25.550;06:53;8.7
26;01:15:24;02:35:30;03:59:31;05:13:51.500;05:13:57.200;06:58;8.6
27;01:12:07;02:29:51;03:49:20;05:14:11.850;05:14:24.300;06:58;8.6
28;01:10:05;02:30:16;03:51:13;05:14:47.450;05:14:49.500;06:59;8.6
29;01:15:36;02:38:06;04:02:50;05:15:07.500;05:15:16.600;07:00;8.6
30;01:12:06;02:31:21;03:56:22;05:15:53.150;05:16:05.100;07:01;8.5
31;01:11:07;02:31:53;03:56:32;05:17:38.300;05:17:43.100;07:03;8.5
32;01:07:49;02:23:50;03:49:56;05:18:12.800;05:18:15.950;07:04;8.5
33;01:07:24;02:26:35;03:53:19;05:18:15.800;05:18:22.550;07:04;8.5
34;01:14:32;02:35:40;03:54:11;05:18:56.300;05:19:04.900;07:05;8.5
35;01:08:12;02:28:22;03:55:18;05:19:07.050;05:19:11.250;07:05;8.5
36;01:14:01;02:30:58;03:50:54;05:19:20.900;05:19:28.150;07:05;8.5
37;01:12:51;02:32:37;03:57:57;05:19:15.900;05:19:43.100;07:05;8.5
38;01:13:57;02:37:07;03:56:07;05:20:08.250;05:20:21.050;07:06;8.4
39;01:13:03;02:35:28;04:03:12;05:23:19.750;05:23:28.050;07:11;8.4
40;01:19:30;02:41:10;04:04:54;05:23:36.400;05:23:45.050;07:11;8.3
41;01:08:50;02:25:52;03:55:46;05:25:27.950;05:25:31.250;07:13;8.3
42;01:17:15;02:36:44;03:59:54;05:26:16.800;05:26:45.050;07:15;8.3
43;01:11:21;02:33:23;04:02:06;05:28:49.750;05:28:58.600;07:18;8.2
44;01:10:46;02:33:43;04:05:22;05:30:24.000;05:30:40.800;07:20;8.2
45;01:21:22;02:48:13;04:12:15;05:31:02.100;05:31:17.300;07:21;8.2
46;01:13:21;02:41:25;04:14:23;05:30:57.150;05:31:32.000;07:21;8.2
47;01:13:02;02:43:23;04:14:28;05:31:34.000;05:31:39.000;07:22;8.1
48;01:12:50;02:36:20;04:06:01;05:32:26.950;05:32:34.800;07:23;8.1
50;01:13:49;02:38:20;04:09:39;05:33:02.600;05:33:16.250;07:24;8.1
51;01:19:55;02:44:48;04:12:11;05:34:52.150;05:34:58.950;07:26;8.1
52;01:13:44;02:41:58;04:19:18;05:38:26.850;05:38:40.700;07:31;8
53;01:10:25;02:36:53;04:11:53;05:41:00.250;05:41:07.950;07:34;7.9
54;01:22:19;02:50:33;04:20:08;05:41:02.700;05:41:09.350;07:34;7.9
55;01:19:40;02:42:16;04:14:41;05:42:26.100;05:42:45.050;07:36;7.9
56;01:20:02;02:47:53;04:15:07;05:42:52.400;05:43:02.100;07:37;7.9
57;01:21:41;02:47:22;04:15:26;05:43:12.300;05:43:25.950;07:37;7.9
58;01:22:18;02:48:01;04:16:23;05:43:07.650;05:43:43.650;07:37;7.9
59;01:24:34;02:47:31;04:13:48;05:43:58.050;05:44:37.700;07:38;7.8
60;01:11:59;02:32:40;04:07:51;05:44:53.100;05:45:05.750;07:39;7.8
61;01:20:03;02:50:58;04:22:10;05:46:38.000;05:46:45.900;07:42;7.8
62;01:24:00;02:54:11;04:22:32;05:46:51.250;05:47:11.400;07:42;7.8
63;01:21:03;02:50:35;04:23:39;05:47:09.950;05:47:16.000;07:42;7.8
64;01:26:52;02:55:42;04:27:44;05:47:06.000;05:47:29.300;07:42;7.8
65;01:20:02;02:48:12;04:23:02;05:50:26.050;05:50:31.050;07:47;7.7
66;01:11:57;02:40:19;04:20:08;05:50:55.400;05:51:01.100;07:47;7.7
67;01:22:12;02:46:00;04:16:49;05:50:29.450;05:51:03.450;07:47;7.7
68;01:20:29;02:50:11;04:21:58;05:50:47.750;05:51:08.350;07:47;7.7
69;01:20:47;02:55:50;04:27:50;05:51:07.700;05:51:12.000;07:48;7.7
